Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
1587,,,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,4,,,1,,,,,,,,,1
1590,1,15,,,Colima,Mexico,Mexico,27.34.00,-104.02.00,3850,Stratovolcano,3,I,,3,,,,,,,,,3
1593,,,,,Raung,Java,Indonesia,-9.59.00,114.56.00,3260,Stratovolcano,5,,,3,,,,,,,,,3
1595,3,12,,,"Ruiz, Nevado del",Colombia,Colombia,18.52,-80.24.00,5279,Stratovolcano,4,M,636,3,,,,,,,,,3
1596,5,1,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Complex volcano,2,T,,3,,,,,,,,,3
1597,1,3,,,Hekla,Iceland-S,Iceland,79.23.00,-30.06.00,1490,Stratovolcano,4,,,,,,,,,1,,,1
1597,,,,,Raung,Java,Indonesia,-9.59.00,114.56.00,3260,Stratovolcano,3,T,,1,,,,,,,,,1
1598,5,13,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Complex volcano,2,T,800,3,,,,,,,,,3
1598,,,,,Banda Api,Banda Sea,Pacific Ocean,-12.43.00,143.41.00,596,Caldera,3,,,1,,,,,,,,,1
1600,2,19,,814,Huaynaputina,Peru,Peru,-26.14.00,-84.14.00,4679,Stratovolcano,6,,1500,4,,,,,,,,,4
1608,7,18,222,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,3,,,,,,,,,1,,,1
1609,,,,,Tengchong,China-S,China,25.23.00,98.5,2865,Pyroclastic cone,,E,,1,,,,,,,,,1
1615,3,,,,Banda Api,Banda Sea,Pacific Ocean,-12.43.00,143.41.00,596,Caldera,3,,,,,,,,,2,,2,4
1629,,,,,Grimsvotn,Iceland-NE,Iceland,70.56.00,-22.16.00,1719,Caldera,2,F,4,1,,,,,,,,,1
1630,9,3,,,Furnas,Azores,Portugal,38.17.00,-25.32.00,805,Stratovolcano,4,"M,T",200,3,,,,,,,,,3
